Name,Surname,Surname1,Surname2,account,Dni,Delegation,Departament,Enabled,Password,TurnPassDays,email,Computer,ChangePass,Schedule,EmailList
JORGE,CARVALHO GOMIS,CARVALHO,GOMIS,JCARVALHOG,12345700-W,Gandia,Alergología,S,Caminas01,7,jcarvalhog@hgandia.san-gva.es,W7/10HFB-16,S,9AM -To 7PM,N
ANTONIO,ALABAU VALENCIA,ALABAU,VALENCIA,AALABAUV,12345701-X,Gandia,Alergología,S,Caminas01,7,aalabauv@hgandia.san-gva.es,W7/10HFB-17,S,9AM -To 7PM,N
CLAUDIO,GOMIS CAMPOS,GOMIS,CAMPOS,CGOMISC,12345702-Y,Gandia,Alergología,S,Caminas01,7,cgomisc@hgandia.san-gva.es,W7/10HFB-18,S,9AM -To 7PM,N
SUSANA,VALENCIA MONCHO,VALENCIA,MONCHO,SVALENCIAM,12345703-Z,Gandia,Informática,S,Caminas01,7,svalenciam@hgandia.san-gva.es,W7/10HFB-19,S,7AM -To 15PM,S
PEDRO,CHAVES ALABAU,CHAVES,ALABAU,PCHAVESA,12345704-A,Gandia,Informática,S,Caminas01,7,pchavesa@hgandia.san-gva.es,W7/10HFB-20,S,7AM -To 15PM,N
PIEDAD,ALBA GOMIS,ALBA,GOMIS,PALBAG,12345705-B,Gandia,Informática,S,Caminas01,7,palbag@hgandia.san-gva.es,W7/10HFB-19,S,3PM -To 11PM,N
MANUEL,CARVALHO VALENCIA,CARVALHO,VALENCIA,MCARVALHOV,12345706-C,Gandia,Informática,S,Caminas01,7,mcarvalhov@hgandia.san-gva.es,W7/10HFB-20,S,3PM -To 11PM,N
JAVIER,CAMPOS VARGAS,CAMPOS,VARGAS,JCAMPOSV,12345707-D,Gandia,Comunicación y prensa,S,Caminas01,15,jcamposv@hgandia.san-gva.es,UDHFB-1,S,9AM -To 3PM,N
EVA,MONCHO CARVALHO,MONCHO,CARVALHO,EMONCHOC,12345708-E,Gandia,Comunicación y prensa,S,Caminas01,15,emonchoc@hgandia.san-gva.es,UDHFB-2,S,9AM -To 3PM,N
RODRIGO,CHAVES CAMPOS,CHAVES,CAMPOS,RCHAVESC,12345709-F,Gandia,Comunicación y prensa,S,Caminas01,15,rchavesc@hgandia.san-gva.es,UDHFB-3,S,9AM -To 3PM,S
JOHANN,ALBA CHAVES,ALBA,CHAVES,JALBAC,12345710-G,Gandia,Comunicación y prensa,S,Caminas01,15,jalbac@hgandia.san-gva.es,UDHFB-4,S,9AM -To 3PM,N
BENITO,APARICIO ROJALES,APARICIO,ROJALES,BAPARICIOR,12345711-H,Gandia,Comunicación y prensa,S,Caminas01,15,baparicior@hgandia.san-gva.es,UDHFB-5,S,9AM -To 3PM,S
